value,country_code,year,month,feature_id
,LSO,2020,6,7
22.7,LTU,2020,6,7
173.3,LUX,2020,6,7
16.1,LVA,2020,6,7
6.1,MAR,2020,6,7
101.2,MCO,2020,6,7
135.4,MDA,2020,6,7
0.7,MDG,2020,6,7
16.6,MDV,2020,6,7
213.2,MEX,2020,6,7
145.0,MKD,2020,6,7
5.6,MLI,2020,6,7
17.5,MLT,2020,6,7
0.1,MMR,2020,6,7
19.1,MNE,2020,6,7
,MNG,2020,6,7
0.2,MOZ,2020,6,7
27.0,MRT,2020,6,7
7.9,MUS,2020,6,7
0.7,MWI,2020,6,7
3.7,MYS,2020,6,7
,NAM,2020,6,7
2.7,NER,2020,6,7
2.8,NGA,2020,6,7
12.4,NIC,2020,6,7
357.1,NLD,2020,6,7
45.7,NOR,2020,6,7
1.0,NPL,2020,6,7
4.5,NZL,2020,6,7
33.7,OMN,2020,6,7
7.4,OWID_AFR,2020,6,7
12.2,OWID_ASI,2020,6,7
297.7,OWID_EUN,2020,6,7
251.1,OWID_EUR,2020,6,7
,OWID_INT,2020,6,7
27.6,OWID_KOS,2020,6,7
280.0,OWID_NAM,2020,6,7
2.9,OWID_OCE,2020,6,7
261.6,OWID_SAM,2020,6,7
68.1,OWID_WRL,2020,6,7
19.5,PAK,2020,6,7
144.0,PAN,2020,6,7
1136.1,PER,2020,6,7
11.4,PHL,2020,6,7
,PNG,2020,6,7
38.7,POL,2020,6,7
155.0,PRT,2020,6,7
2.4,PRY,2020,6,7
1.5,PSE,2020,6,7
38.6,QAT,2020,6,7
86.3,ROU,2020,6,7
63.8,RUS,2020,6,7
0.2,RWA,2020,6,7
46.7,SAU,2020,6,7
12.7,SDN,2020,6,7
6.5,SEN,2020,6,7
4.4,SGP,2020,6,7
7.4,SLE,2020,6,7
26.7,SLV,2020,6,7
1234.9,SMR,2020,6,7
5.5,SOM,2020,6,7
40.1,SRB,2020,6,7
3.3,SSD,2020,6,7
58.2,STP,2020,6,7
22.0,SUR,2020,6,7
5.1,SVK,2020,6,7
53.4,SVN,2020,6,7
524.9,SWE,2020,6,7
9.4,SWZ,2020,6,7
,SYC,2020,6,7
0.5,SYR,2020,6,7
4.4,TCD,2020,6,7
1.7,TGO,2020,6,7
0.8,THA,2020,6,7
5.3,TJK,2020,6,7
,TLS,2020,6,7
5.7,TTO,2020,6,7
4.2,TUN,2020,6,7
60.3,TUR,2020,6,7
0.3,TWN,2020,6,7
0.3,TZA,2020,6,7
,UGA,2020,6,7
27.0,UKR,2020,6,7
7.7,URY,2020,6,7
382.6,USA,2020,6,7
0.8,UZB,2020,6,7
,VAT,2020,6,7
,VCT,2020,6,7
1.8,VEN,2020,6,7
,VNM,2020,6,7
10.2,YEM,2020,6,7
44.3,ZAF,2020,6,7
1.3,ZMB,2020,6,7
0.5,ZWE,2020,6,7
32.0,AFG,2020,7,7
1.5,AGO,2020,7,7
54.6,ALB,2020,7,7
672.2,AND,2020,7,7
35.1,ARE,2020,7,7
77.7,ARG,2020,7,7
248.6,ARM,2020,7,7
30.4,ATG,2020,7,7
7.8,AUS,2020,7,7
79.4,AUT,2020,7,7
43.8,AZE,2020,7,7
0.1,BDI,2020,7,7
846.0,BEL,2020,7,7
2.9,BEN,2020,7,7
2.5,BFA,2020,7,7
18.7,BGD,2020,7,7
55.5,BGR,2020,7,7
84.1,BHR,2020,7,7
35.3,BHS,2020,7,7
103.9,BIH,2020,7,7
59.2,BLR,2020,7,7
4.9,BLZ,2020,7,7
251.6,BOL,2020,7,7
432.1,BRA,2020,7,7
24.3,BRB,2020,7,7
6.8,BRN,2020,7,7
,BTN,2020,7,7
0.8,BWA,2020,7,7
12.0,CAF,2020,7,7
237.1,CAN,2020,7,7
209.6,CHE,2020,7,7
492.2,CHL,2020,7,7
3.2,CHN,2020,7,7
3.8,CIV,2020,7,7
14.4,CMR,2020,7,7
2.3,COD,2020,7,7
9.5,COG,2020,7,7
197.1,COL,2020,7,7
7.9,COM,2020,7,7
40.9,CPV,2020,7,7
29.2,CRI,2020,7,7
7.7,CUB,2020,7,7
21.2,CYP,2020,7,7
35.6,CZE,2020,7,7
109.0,DEU,2020,7,7
57.9,DJI,2020,7,7
,DMA,2020,7,7
105.8,DNK,2020,7,7
105.9,DOM,2020,7,7
27.1,DZA,2020,7,7
318.8,ECU,2020,7,7
46.1,EGY,2020,7,7
,ERI,2020,7,7
608.5,ESP,2020,7,7
52.1,EST,2020,7,7
2.3,ETH,2020,7,7
59.3,FIN,2020,7,7
1.1,FJI,2020,7,7
448.0,FRA,2020,7,7
21.5,GAB,2020,7,7
605.1,GBR,2020,7,7
4.3,GEO,2020,7,7
5.7,GHA,2020,7,7
